"","agegrp","cob","ethgrp","pop_EW","pop_E"
"235"," 50 to 54","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","68717","67381"
"236"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","78341","77690"
"237"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","39936","39400"
"238"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","12565","12231"
"239"," 50 to 54","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","19145","18504"
"240"," 50 to 54","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","74613","74025"
"241"," 55 to 59","Total: Country of birth","Total: Ethnic group","3183915","2996992"
"242"," 55 to 59","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2919608","2736582"
"243"," 55 to 59","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","70943","69243"
"244"," 55 to 59","Total: Country of birth","Asian/Asian British: Indian","73687","73083"
"245"," 55 to 59","Total: Country of birth","Asian/Asian British: Pakistani","35284","34833"
"246"," 55 to 59","Total: Country of birth","Asian/Asian British: Bangladeshi","10098","9869"
"247"," 55 to 59","Total: Country of birth","Asian/Asian British: Chinese","16470","16009"
"248"," 55 to 59","Total: Country of birth","Black/African/Caribbean/Black British","57825","57373"
"249"," 55 to 59","Born in UK or Rest of Europe","Total: Ethnic group","2884287","2702181"
"250"," 55 to 59","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2859947","2678761"
"251"," 55 to 59","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","16078","15307"
"252"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Indian","1739","1710"
"253"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","1021","1005"
"254"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","255","246"
"255"," 55 to 59","Born in UK or Rest of Europe","Asian/Asian British: Chinese","547","527"
"256"," 55 to 59","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","4700","4625"
"257"," 55 to 59","Born outside the UK and Rest of Europe","Total: Ethnic group","299628","294811"
"258"," 55 to 59","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","59661","57821"
"259"," 55 to 59","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","54865","53936"
"260"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","71948","71373"
"261"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","34263","33828"
"262"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","9843","9623"
"263"," 55 to 59","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","15923","15482"
"264"," 55 to 59","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","53125","52748"
"265"," 60 to 64","Total: Country of birth","Total: Ethnic group","3377162","3172277"
"266"," 60 to 64","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3196687","2994476"
"267"," 60 to 64","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","53650","52416"
"268"," 60 to 64","Total: Country of birth","Asian/Asian British: Indian","54262","53768"
"269"," 60 to 64","Total: Country of birth","Asian/Asian British: Pakistani","20355","20143"
"270"," 60 to 64","Total: Country of birth","Asian/Asian British: Bangladeshi","5405","5288"
"271"," 60 to 64","Total: Country of birth","Asian/Asian British: Chinese","11927","11597"
"272"," 60 to 64","Total: Country of birth","Black/African/Caribbean/Black British","34876","34589"
"273"," 60 to 64","Born in UK or Rest of Europe","Total: Ethnic group","3161487","2960009"
"274"," 60 to 64","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3146374","2945621"
"275"," 60 to 64","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","11105","10485"
"276"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Indian","1007","993"
"277"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","542","535"
"278"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","147","139"
"279"," 60 to 64","Born in UK or Rest of Europe","Asian/Asian British: Chinese","421","394"
"280"," 60 to 64","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","1891","1842"
"281"," 60 to 64","Born outside the UK and Rest of Europe","Total: Ethnic group","215675","212268"
"282"," 60 to 64","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","50313","48855"
"283"," 60 to 64","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","42545","41931"
"284"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","53255","52775"
"285"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","19813","19608"
"286"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","5258","5149"
"287"," 60 to 64","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","11506","11203"
"288"," 60 to 64","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","32985","32747"
"289"," 65 or over","Total: Country of birth","Total: Ethnic group","9223073","8660529"
"290"," 65 or over","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","8806963","8250504"
"291"," 65 or over","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","99522","96864"
"292"," 65 or over","Total: Country of birth","Asian/Asian British: Indian","115085","114127"
"293"," 65 or over","Total: Country of birth","Asian/Asian British: Pakistani","49529","48924"
"294"," 65 or over","Total: Country of birth","Asian/Asian British: Bangladeshi","16589","16260"
"295"," 65 or over","Total: Country of birth","Asian/Asian British: Chinese","19835","19275"
"296"," 65 or over","Total: Country of birth","Black/African/Caribbean/Black British","115550","114575"
"297"," 65 or over","Born in UK or Rest of Europe","Total: Ethnic group","8725591","8170643"
"298"," 65 or over","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","8688732","8135666"
"299"," 65 or over","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","24616","23062"
"300"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Indian","2401","2348"
"301"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","1333","1305"
"302"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","406","390"
"303"," 65 or over","Born in UK or Rest of Europe","Asian/Asian British: Chinese","903","827"
"304"," 65 or over","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","7200","7045"
"305"," 65 or over","Born outside the UK and Rest of Europe","Total: Ethnic group","497482","489886"
"306"," 65 or over","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","118231","114838"
"307"," 65 or over","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","74906","73802"
"308"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","112684","111779"
"309"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","48196","47619"
"310"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","16183","15870"
"311"," 65 or over","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","18932","18448"
"312"," 65 or over","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","108350","107530"
"313","Total: ","Total: Country of birth","Total: Ethnic group","27573376","26069148"
"314","Total: ","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","23630918","22198066"
"315","Total: ","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","1331224","1298428"
"316","Total: ","Total: Country of birth","Asian/Asian British: Indian","719920","710301"
"317","Total: ","Total: Country of birth","Asian/Asian British: Pakistani","576215","569793"
"318","Total: ","Total: Country of birth","Asian/Asian British: Bangladeshi","230871","225251"
"319","Total: ","Total: Country of birth","Asian/Asian British: Chinese","186028","179124"
"320","Total: ","Total: Country of birth","Black/African/Caribbean/Black British","898200","888185"
"321","Total: ","Born in UK or Rest of Europe","Total: Ethnic group","25235826","23780375"
"322","Total: ","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","23178689","21757391"
"323","Total: ","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","777719","758480"
"324","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Indian","316320","313525"
"325","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","325555","322050"
"326","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","119547","116691"
"327","Total: ","Born in UK or Rest of Europe","Asian/Asian British: Chinese","52987","50986"
"328","Total: ","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","465009","461252"
"329","Total: ","Born outside the UK and Rest of Europe","Total: Ethnic group","2337550","2288773"
"330","Total: ","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","452229","440675"
"331","Total: ","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","553505","539948"
"332","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","403600","396776"
"333","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","250660","247743"
"334","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","111324","108560"
"335","Total: ","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","133041","128138"
"336","Total: ","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","433191","426933"
"337"," 0 to 4","Total: Country of birth","Total: Ethnic group","1789744","1698171"
"338"," 0 to 4","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1376411","1292142"
"339"," 0 to 4","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","171766","167895"
"340"," 0 to 4","Total: Country of birth","Asian/Asian British: Indian","50746","49939"
"341"," 0 to 4","Total: Country of birth","Asian/Asian British: Pakistani","65865","65164"
"342"," 0 to 4","Total: Country of birth","Asian/Asian British: Bangladeshi","25731","25059"
"343"," 0 to 4","Total: Country of birth","Asian/Asian British: Chinese","9578","9122"
"344"," 0 to 4","Total: Country of birth","Black/African/Caribbean/Black British","89647","88850"
"345"," 0 to 4","Born in UK or Rest of Europe","Total: Ethnic group","1762250","1671533"
"346"," 0 to 4","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1369513","1285429"
"347"," 0 to 4","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","163296","159808"
"348"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Indian","45147","44487"
"349"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","63736","63063"
"350"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","25217","24561"
"351"," 0 to 4","Born in UK or Rest of Europe","Asian/Asian British: Chinese","9038","8606"
"352"," 0 to 4","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","86303","85579"
"353"," 0 to 4","Born outside the UK and Rest of Europe","Total: Ethnic group","27494","26638"
"354"," 0 to 4","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","6898","6713"
"355"," 0 to 4","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","8470","8087"
"356"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","5599","5452"
"357"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","2129","2101"
"358"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","514","498"
"359"," 0 to 4","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","540","516"
"360"," 0 to 4","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","3344","3271"
"361"," 5 to 14","Total: Country of birth","Total: Ethnic group","3273105","3098282"
"362"," 5 to 14","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2612166","2448232"
"363"," 5 to 14","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","252233","246322"
"364"," 5 to 14","Total: Country of birth","Asian/Asian British: Indian","80598","79758"
"365"," 5 to 14","Total: Country of birth","Asian/Asian British: Pakistani","113202","112045"
"366"," 5 to 14","Total: Country of birth","Asian/Asian British: Bangladeshi","48711","47581"
"367"," 5 to 14","Total: Country of birth","Asian/Asian British: Chinese","13749","13201"
"368"," 5 to 14","Total: Country of birth","Black/African/Caribbean/Black British","152446","151143"
"369"," 5 to 14","Born in UK or Rest of Europe","Total: Ethnic group","3146313","2974939"
"370"," 5 to 14","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2586695","2423505"
"371"," 5 to 14","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","212424","207950"
"372"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Indian","66251","65779"
"373"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","102392","101390"
"374"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","45119","44095"
"375"," 5 to 14","Born in UK or Rest of Europe","Asian/Asian British: Chinese","10489","10041"
"376"," 5 to 14","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","122943","122179"
"377"," 5 to 14","Born outside the UK and Rest of Europe","Total: Ethnic group","126792","123343"
"378"," 5 to 14","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","25471","24727"
"379"," 5 to 14","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","39809","38372"
"380"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","14347","13979"
"381"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","10810","10655"
"382"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","3592","3486"
"383"," 5 to 14","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","3260","3160"
"384"," 5 to 14","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","29503","28964"
"385"," 15 to 24","Total: Country of birth","Total: Ethnic group","3727178","3517022"
"386"," 15 to 24","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","3039148","2843591"
"387"," 15 to 24","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","242178","235634"
"388"," 15 to 24","Total: Country of birth","Asian/Asian British: Indian","108039","106040"
"389"," 15 to 24","Total: Country of birth","Asian/Asian British: Pakistani","99444","98276"
"390"," 15 to 24","Total: Country of birth","Asian/Asian British: Bangladeshi","42659","41656"
"391"," 15 to 24","Total: Country of birth","Asian/Asian British: Chinese","55477","53225"
"392"," 15 to 24","Total: Country of birth","Black/African/Caribbean/Black British","140233","138600"
"393"," 15 to 24","Born in UK or Rest of Europe","Total: Ethnic group","3420605","3219444"
"394"," 15 to 24","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","2995670","2801589"
"395"," 15 to 24","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","154892","151040"
"396"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Indian","73067","72374"
"397"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","73037","72240"
"398"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","29554","28821"
"399"," 15 to 24","Born in UK or Rest of Europe","Asian/Asian British: Chinese","13615","13163"
"400"," 15 to 24","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","80770","80217"
"401"," 15 to 24","Born outside the UK and Rest of Europe","Total: Ethnic group","306573","297578"
"402"," 15 to 24","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","43478","42002"
"403"," 15 to 24","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","87286","84594"
"404"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","34972","33666"
"405"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","26407","26036"
"406"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","13105","12835"
"407"," 15 to 24","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","41862","40062"
"408"," 15 to 24","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","59463","58383"
"409"," 25 to 29","Total: Country of birth","Total: Ethnic group","1914298","1820536"
"410"," 25 to 29","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1531938","1445485"
"411"," 25 to 29","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","125832","122860"
"412"," 25 to 29","Total: Country of birth","Asian/Asian British: Indian","82056","80753"
"413"," 25 to 29","Total: Country of birth","Asian/Asian British: Pakistani","58686","58127"
"414"," 25 to 29","Total: Country of birth","Asian/Asian British: Bangladeshi","22919","22438"
"415"," 25 to 29","Total: Country of birth","Asian/Asian British: Chinese","23590","22759"
"416"," 25 to 29","Total: Country of birth","Black/African/Caribbean/Black British","69277","68114"
"417"," 25 to 29","Born in UK or Rest of Europe","Total: Ethnic group","1663390","1575324"
"418"," 25 to 29","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1484081","1398659"
"419"," 25 to 29","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","62669","61274"
"420"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Indian","40299","39997"
"421"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","30326","30011"
"422"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","9606","9410"
"423"," 25 to 29","Born in UK or Rest of Europe","Asian/Asian British: Chinese","6777","6576"
"424"," 25 to 29","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","29632","29397"
"425"," 25 to 29","Born outside the UK and Rest of Europe","Total: Ethnic group","250908","245212"
"426"," 25 to 29","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","47857","46826"
"427"," 25 to 29","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","63163","61586"
"428"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","41757","40756"
"429"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","28360","28116"
"430"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","13313","13028"
"431"," 25 to 29","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","16813","16183"
"432"," 25 to 29","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","39645","38717"
"433"," 30 to 34","Total: Country of birth","Total: Ethnic group","1842456","1754903"
"434"," 30 to 34","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1464880","1384235"
"435"," 30 to 34","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","121923","119063"
"436"," 30 to 34","Total: Country of birth","Asian/Asian British: Indian","81243","80212"
"437"," 30 to 34","Total: Country of birth","Asian/Asian British: Pakistani","58950","58334"
"438"," 30 to 34","Total: Country of birth","Asian/Asian British: Bangladeshi","22906","22331"
"439"," 30 to 34","Total: Country of birth","Asian/Asian British: Chinese","18141","17545"
"440"," 30 to 34","Total: Country of birth","Black/African/Caribbean/Black British","74413","73183"
"441"," 30 to 34","Born in UK or Rest of Europe","Total: Ethnic group","1553957","1472015"
"442"," 30 to 34","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1409521","1329821"
"443"," 30 to 34","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","50400","49185"
"444"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Indian","34091","33872"
"445"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","24288","24010"
"446"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","5253","5138"
"447"," 30 to 34","Born in UK or Rest of Europe","Asian/Asian British: Chinese","5038","4875"
"448"," 30 to 34","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","25366","25114"
"449"," 30 to 34","Born outside the UK and Rest of Europe","Total: Ethnic group","288499","282888"
"450"," 30 to 34","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","55359","54414"
"451"," 30 to 34","Born outside the UK and Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","71523","69878"
"452"," 30 to 34","Born outside the UK and Rest of Europe","Asian/Asian British: Indian","47152","46340"
"453"," 30 to 34","Born outside the UK and Rest of Europe","Asian/Asian British: Pakistani","34662","34324"
"454"," 30 to 34","Born outside the UK and Rest of Europe","Asian/Asian British: Bangladeshi","17653","17193"
"455"," 30 to 34","Born outside the UK and Rest of Europe","Asian/Asian British: Chinese","13103","12670"
"456"," 30 to 34","Born outside the UK and Rest of Europe","Black/African/Caribbean/Black British","49047","48069"
"457"," 35 to 39","Total: Country of birth","Total: Ethnic group","1855920","1765582"
"458"," 35 to 39","Total: Country of birth","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1530803","1446605"
"459"," 35 to 39","Total: Country of birth","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","107396","104693"
"460"," 35 to 39","Total: Country of birth","Asian/Asian British: Indian","65266","64234"
"461"," 35 to 39","Total: Country of birth","Asian/Asian British: Pakistani","45871","45361"
"462"," 35 to 39","Total: Country of birth","Asian/Asian British: Bangladeshi","20687","20183"
"463"," 35 to 39","Total: Country of birth","Asian/Asian British: Chinese","14003","13509"
"464"," 35 to 39","Total: Country of birth","Black/African/Caribbean/Black British","71894","70997"
"465"," 35 to 39","Born in UK or Rest of Europe","Total: Ethnic group","1583720","1498879"
"466"," 35 to 39","Born in UK or Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","1478379","1395257"
"467"," 35 to 39","Born in UK or Rest of Europe","Mixed/multiple ethnic groups: White and Black Caribbean/ White and Black African/White and Asian/Other Mixed, Asian/Asian British: Other Asian, Other ethnic group: Arab, Other ethnic group: Any other ethnic group","35917","34943"
"468"," 35 to 39","Born in UK or Rest of Europe","Asian/Asian British: Indian","25052","24894"
"469"," 35 to 39","Born in UK or Rest of Europe","Asian/Asian British: Pakistani","15114","14928"
"470"," 35 to 39","Born in UK or Rest of Europe","Asian/Asian British: Bangladeshi","2585","2529"
"471"," 35 to 39","Born in UK or Rest of Europe","Asian/Asian British: Chinese","3567","3463"
"472"," 35 to 39","Born in UK or Rest of Europe","Black/African/Caribbean/Black British","23106","22865"
"473"," 35 to 39","Born outside the UK and Rest of Europe","Total: Ethnic group","272200","266703"
"474"," 35 to 39","Born outside the UK and Rest of Europe","White: English/Welsh/Scottish/Northern Irish/British/Irish/Gypsy or Irish Traveller/Other White","52424","51348"
