"","CoB","ethgrp","age","population","sex","year"
"1","UK-born","White","0",245817,"M",2011
"2","UK-born","White","1",241358,"M",2011
"3","UK-born","White","2",237958,"M",2011
"4","UK-born","White","3",240493,"M",2011
"5","UK-born","White","4",236780,"M",2011
"6","UK-born","White","5",232107,"M",2011
"7","UK-born","White","6",223392,"M",2011
"8","UK-born","White","7",223515,"M",2011
"9","UK-born","White","8",217040,"M",2011
"10","UK-born","White","9",217807,"M",2011
"11","UK-born","White","10",225533,"M",2011
"12","UK-born","White","11",236136,"M",2011
"13","UK-born","White","12",243365,"M",2011
"14","UK-born","White","13",247773,"M",2011
"15","UK-born","White","14",254037,"M",2011
"16","UK-born","White","15",260362,"M",2011
"17","UK-born","White","16",259494,"M",2011
"18","UK-born","White","17",266381,"M",2011
"19","UK-born","White","18",266751,"M",2011
"20","UK-born","White","19",271521,"M",2011
"21","UK-born","White","20",280794,"M",2011
"22","UK-born","White","21",267651,"M",2011
"23","UK-born","White","22",261444,"M",2011
"24","UK-born","White","23",263343,"M",2011
"25","UK-born","White","24",249720,"M",2011
"26","UK-born","White","25",254144,"M",2011
"27","UK-born","White","26",247963,"M",2011
"28","UK-born","White","27",241188,"M",2011
"29","UK-born","White","28",237165,"M",2011
"30","UK-born","White","29",239389,"M",2011
"31","UK-born","White","30",244576,"M",2011
"32","UK-born","White","31",242313,"M",2011
"33","UK-born","White","32",229890,"M",2011
"34","UK-born","White","33",215615,"M",2011
"35","UK-born","White","34",218041,"M",2011
"36","UK-born","White","35",225482,"M",2011
"37","UK-born","White","36",238949,"M",2011
"38","UK-born","White","37",249164,"M",2011
"39","UK-born","White","38",268489,"M",2011
"40","UK-born","White","39",288085,"M",2011
"41","UK-born","White","40",293442,"M",2011
"42","UK-born","White","41",290768,"M",2011
"43","UK-born","White","42",301815,"M",2011
"44","UK-born","White","43",305424,"M",2011
"45","UK-born","White","44",316423,"M",2011
"46","UK-born","White","45",317128,"M",2011
"47","UK-born","White","46",322580,"M",2011
"48","UK-born","White","47",318213,"M",2011
"49","UK-born","White","48",314073,"M",2011
"50","UK-born","White","49",308855,"M",2011
"51","UK-born","White","50",299419,"M",2011
"52","UK-born","White","51",286446,"M",2011
"53","UK-born","White","52",284090,"M",2011
"54","UK-born","White","53",280303,"M",2011
"55","UK-born","White","54",268277,"M",2011
"56","UK-born","White","55",258968,"M",2011
"57","UK-born","White","56",254403,"M",2011
"58","UK-born","White","57",259251,"M",2011
"59","UK-born","White","58",252555,"M",2011
"60","UK-born","White","59",251466,"M",2011
"61","UK-born","White","60",254449,"M",2011
"62","UK-born","White","61",264597,"M",2011
"63","UK-born","White","62",274640,"M",2011
"64","UK-born","White","63",302451,"M",2011
"65","UK-born","White","64",307659,"M",2011
"66","UK-born","White","65",231915,"M",2011
"67","UK-born","White","66",246639,"M",2011
"68","UK-born","White","67",228129,"M",2011
"69","UK-born","White","68",213525,"M",2011
"70","UK-born","White","69",182744,"M",2011
"71","UK-born","White","70",173065,"M",2011
"72","UK-born","White","71",179876,"M",2011
"73","UK-born","White","72",176069,"M",2011
"74","UK-born","White","73",170024,"M",2011
"75","UK-born","White","74",161270,"M",2011
"76","UK-born","White","75",151502,"M",2011
"77","UK-born","White","76",143981,"M",2011
"78","UK-born","White","77",132536,"M",2011
"79","UK-born","White","78",127815,"M",2011
"80","UK-born","White","79",121436,"M",2011
"81","UK-born","White","80",115169,"M",2011
"82","UK-born","White","81",103549,"M",2011
"83","UK-born","White","82",93498,"M",2011
"84","UK-born","White","83",82641,"M",2011
"85","UK-born","White","84",75333,"M",2011
"86","UK-born","White","85-89",248949,"M",2011
"87","UK-born","White","90-94",82012,"M",2011
"88","UK-born","White","95-99",15533,"M",2011
"89","UK-born","White","100",1594,"M",2011
"90","UK-born","White","0",16974,"M",2011
"91","UK-born","White","1",14749,"M",2011
"92","UK-born","White","2",13141,"M",2011
"93","UK-born","White","3",11035,"M",2011
"94","UK-born","White","4",8177,"M",2011
"95","UK-born","White","5",6263,"M",2011
"96","UK-born","White","6",4857,"M",2011
"97","UK-born","White","7",4394,"M",2011
"98","UK-born","White","8",3732,"M",2011
"99","UK-born","White","9",3458,"M",2011
"100","UK-born","White","10",3396,"M",2011
"101","UK-born","White","11",3086,"M",2011
"102","UK-born","White","12",2766,"M",2011
"103","UK-born","White","13",2558,"M",2011
"104","UK-born","White","14",2313,"M",2011
"105","UK-born","White","15",2382,"M",2011
"106","UK-born","White","16",2033,"M",2011
"107","UK-born","White","17",1950,"M",2011
"108","UK-born","White","18",1855,"M",2011
"109","UK-born","White","19",1795,"M",2011
"110","UK-born","White","20",1741,"M",2011
"111","UK-born","White","21",1830,"M",2011
"112","UK-born","White","22",1703,"M",2011
"113","UK-born","White","23",1702,"M",2011
"114","UK-born","White","24",1682,"M",2011
"115","UK-born","White","25",1728,"M",2011
"116","UK-born","White","26",1626,"M",2011
"117","UK-born","White","27",1634,"M",2011
"118","UK-born","White","28",1635,"M",2011
"119","UK-born","White","29",1740,"M",2011
"120","UK-born","White","30",1751,"M",2011
"121","UK-born","White","31",1713,"M",2011
"122","UK-born","White","32",1633,"M",2011
"123","UK-born","White","33",1508,"M",2011
"124","UK-born","White","34",1557,"M",2011
"125","UK-born","White","35",1462,"M",2011
"126","UK-born","White","36",1527,"M",2011
"127","UK-born","White","37",1546,"M",2011
"128","UK-born","White","38",1640,"M",2011
"129","UK-born","White","39",1680,"M",2011
"130","UK-born","White","40",1856,"M",2011
"131","UK-born","White","41",1617,"M",2011
"132","UK-born","White","42",1784,"M",2011
"133","UK-born","White","43",1877,"M",2011
"134","UK-born","White","44",1926,"M",2011
"135","UK-born","White","45",1957,"M",2011
"136","UK-born","White","46",1917,"M",2011
"137","UK-born","White","47",1835,"M",2011
"138","UK-born","White","48",1804,"M",2011
"139","UK-born","White","49",1582,"M",2011
"140","UK-born","White","50",1580,"M",2011
"141","UK-born","White","51",1367,"M",2011
"142","UK-born","White","52",1368,"M",2011
"143","UK-born","White","53",1281,"M",2011
"144","UK-born","White","54",1150,"M",2011
"145","UK-born","White","55",1100,"M",2011
"146","UK-born","White","56",953,"M",2011
"147","UK-born","White","57",911,"M",2011
"148","UK-born","White","58",861,"M",2011
"149","UK-born","White","59",875,"M",2011
"150","UK-born","White","60",831,"M",2011
"151","UK-born","White","61",795,"M",2011
"152","UK-born","White","62",722,"M",2011
"153","UK-born","White","63",624,"M",2011
"154","UK-born","White","64",554,"M",2011
"155","UK-born","White","65",390,"M",2011
"156","UK-born","White","66",391,"M",2011
"157","UK-born","White","67",306,"M",2011
"158","UK-born","White","68",282,"M",2011
"159","UK-born","White","69",218,"M",2011
"160","UK-born","White","70",204,"M",2011
"161","UK-born","White","71",229,"M",2011
"162","UK-born","White","72",185,"M",2011
"163","UK-born","White","73",178,"M",2011
"164","UK-born","White","74",152,"M",2011
"165","UK-born","White","75",145,"M",2011
"166","UK-born","White","76",136,"M",2011
"167","UK-born","White","77",133,"M",2011
"168","UK-born","White","78",108,"M",2011
"169","UK-born","White","79",114,"M",2011
"170","UK-born","White","80",104,"M",2011
"171","UK-born","White","81",114,"M",2011
"172","UK-born","White","82",84,"M",2011
"173","UK-born","White","83",75,"M",2011
"174","UK-born","White","84",92,"M",2011
"175","UK-born","White","85-89",281,"M",2011
"176","UK-born","White","90-94",105,"M",2011
"177","UK-born","White","95-99",27,"M",2011
"178","UK-born","White","100",4,"M",2011
"179","UK-born","Mixed/Other","0",22691,"M",2011
"180","UK-born","Mixed/Other","1",22009,"M",2011
"181","UK-born","Mixed/Other","2",21098,"M",2011
"182","UK-born","Mixed/Other","3",20264,"M",2011
"183","UK-born","Mixed/Other","4",19206,"M",2011
"184","UK-born","Mixed/Other","5",17440,"M",2011
"185","UK-born","Mixed/Other","6",15846,"M",2011
"186","UK-born","Mixed/Other","7",14854,"M",2011
"187","UK-born","Mixed/Other","8",13802,"M",2011
"188","UK-born","Mixed/Other","9",12988,"M",2011
"189","UK-born","Mixed/Other","10",12761,"M",2011
"190","UK-born","Mixed/Other","11",12585,"M",2011
"191","UK-born","Mixed/Other","12",12611,"M",2011
"192","UK-born","Mixed/Other","13",12637,"M",2011
"193","UK-born","Mixed/Other","14",12141,"M",2011
"194","UK-born","Mixed/Other","15",11961,"M",2011
"195","UK-born","Mixed/Other","16",11320,"M",2011
"196","UK-born","Mixed/Other","17",11564,"M",2011
"197","UK-born","Mixed/Other","18",10611,"M",2011
"198","UK-born","Mixed/Other","19",10017,"M",2011
"199","UK-born","Mixed/Other","20",10590,"M",2011
"200","UK-born","Mixed/Other","21",9513,"M",2011
"201","UK-born","Mixed/Other","22",9024,"M",2011
"202","UK-born","Mixed/Other","23",8460,"M",2011
"203","UK-born","Mixed/Other","24",7538,"M",2011
"204","UK-born","Mixed/Other","25",7989,"M",2011
"205","UK-born","Mixed/Other","26",7143,"M",2011
"206","UK-born","Mixed/Other","27",6577,"M",2011
"207","UK-born","Mixed/Other","28",6159,"M",2011
"208","UK-born","Mixed/Other","29",5958,"M",2011
"209","UK-born","Mixed/Other","30",5752,"M",2011
"210","UK-born","Mixed/Other","31",5336,"M",2011
"211","UK-born","Mixed/Other","32",4748,"M",2011
"212","UK-born","Mixed/Other","33",4247,"M",2011
"213","UK-born","Mixed/Other","34",3986,"M",2011
"214","UK-born","Mixed/Other","35",3776,"M",2011
"215","UK-born","Mixed/Other","36",3463,"M",2011
"216","UK-born","Mixed/Other","37",3476,"M",2011
"217","UK-born","Mixed/Other","38",3723,"M",2011
"218","UK-born","Mixed/Other","39",3883,"M",2011
"219","UK-born","Mixed/Other","40",3844,"M",2011
"220","UK-born","Mixed/Other","41",3784,"M",2011
"221","UK-born","Mixed/Other","42",3877,"M",2011
"222","UK-born","Mixed/Other","43",3939,"M",2011
"223","UK-born","Mixed/Other","44",3865,"M",2011
"224","UK-born","Mixed/Other","45",3650,"M",2011
"225","UK-born","Mixed/Other","46",3775,"M",2011
"226","UK-born","Mixed/Other","47",3387,"M",2011
"227","UK-born","Mixed/Other","48",3139,"M",2011
"228","UK-born","Mixed/Other","49",2861,"M",2011
"229","UK-born","Mixed/Other","50",2467,"M",2011
"230","UK-born","Mixed/Other","51",2124,"M",2011
"231","UK-born","Mixed/Other","52",1970,"M",2011
"232","UK-born","Mixed/Other","53",1632,"M",2011
"233","UK-born","Mixed/Other","54",1439,"M",2011
"234","UK-born","Mixed/Other","55",1178,"M",2011
"235","UK-born","Mixed/Other","56",1081,"M",2011
"236","UK-born","Mixed/Other","57",871,"M",2011
"237","UK-born","Mixed/Other","58",890,"M",2011
"238","UK-born","Mixed/Other","59",745,"M",2011
"239","UK-born","Mixed/Other","60",732,"M",2011
"240","UK-born","Mixed/Other","61",652,"M",2011
"241","UK-born","Mixed/Other","62",617,"M",2011
"242","UK-born","Mixed/Other","63",607,"M",2011
"243","UK-born","Mixed/Other","64",620,"M",2011
"244","UK-born","Mixed/Other","65",616,"M",2011
"245","UK-born","Mixed/Other","66",615,"M",2011
"246","UK-born","Mixed/Other","67",417,"M",2011
"247","UK-born","Mixed/Other","68",347,"M",2011
"248","UK-born","Mixed/Other","69",310,"M",2011
"249","UK-born","Mixed/Other","70",291,"M",2011
"250","UK-born","Mixed/Other","71",289,"M",2011
"251","UK-born","Mixed/Other","72",249,"M",2011
"252","UK-born","Mixed/Other","73",254,"M",2011
"253","UK-born","Mixed/Other","74",266,"M",2011
"254","UK-born","Mixed/Other","75",242,"M",2011
"255","UK-born","Mixed/Other","76",228,"M",2011
"256","UK-born","Mixed/Other","77",220,"M",2011
"257","UK-born","Mixed/Other","78",206,"M",2011
"258","UK-born","Mixed/Other","79",181,"M",2011
"259","UK-born","Mixed/Other","80",185,"M",2011
"260","UK-born","Mixed/Other","81",166,"M",2011
"261","UK-born","Mixed/Other","82",167,"M",2011
"262","UK-born","Mixed/Other","83",135,"M",2011
"263","UK-born","Mixed/Other","84",134,"M",2011
"264","UK-born","Mixed/Other","85-89",471,"M",2011
"265","UK-born","Mixed/Other","90-94",155,"M",2011
"266","UK-born","Mixed/Other","95-99",43,"M",2011
"267","UK-born","Mixed/Other","100",8,"M",2011
"268","UK-born","Indian","0",9334,"M",2011
"269","UK-born","Indian","1",8937,"M",2011
"270","UK-born","Indian","2",8818,"M",2011
"271","UK-born","Indian","3",8871,"M",2011
"272","UK-born","Indian","4",8327,"M",2011
"273","UK-born","Indian","5",7847,"M",2011
"274","UK-born","Indian","6",7176,"M",2011
"275","UK-born","Indian","7",6632,"M",2011
"276","UK-born","Indian","8",6221,"M",2011
"277","UK-born","Indian","9",6107,"M",2011
"278","UK-born","Indian","10",6150,"M",2011
"279","UK-born","Indian","11",6153,"M",2011
"280","UK-born","Indian","12",6242,"M",2011
"281","UK-born","Indian","13",6200,"M",2011
"282","UK-born","Indian","14",6224,"M",2011
"283","UK-born","Indian","15",6620,"M",2011
"284","UK-born","Indian","16",6445,"M",2011
"285","UK-born","Indian","17",6586,"M",2011
"286","UK-born","Indian","18",6742,"M",2011
"287","UK-born","Indian","19",7114,"M",2011
"288","UK-born","Indian","20",7343,"M",2011
"289","UK-born","Indian","21",7371,"M",2011
"290","UK-born","Indian","22",7254,"M",2011
"291","UK-born","Indian","23",7556,"M",2011
"292","UK-born","Indian","24",7524,"M",2011
"293","UK-born","Indian","25",7783,"M",2011
"294","UK-born","Indian","26",7884,"M",2011
"295","UK-born","Indian","27",7466,"M",2011
"296","UK-born","Indian","28",7628,"M",2011
"297","UK-born","Indian","29",7571,"M",2011
"298","UK-born","Indian","30",7540,"M",2011
"299","UK-born","Indian","31",7036,"M",2011
"300","UK-born","Indian","32",6640,"M",2011
"301","UK-born","Indian","33",5999,"M",2011
"302","UK-born","Indian","34",5805,"M",2011
"303","UK-born","Indian","35",5244,"M",2011
"304","UK-born","Indian","36",4841,"M",2011
"305","UK-born","Indian","37",4966,"M",2011
"306","UK-born","Indian","38",4804,"M",2011
"307","UK-born","Indian","39",4557,"M",2011
"308","UK-born","Indian","40",4550,"M",2011
"309","UK-born","Indian","41",4480,"M",2011
"310","UK-born","Indian","42",4249,"M",2011
"311","UK-born","Indian","43",3575,"M",2011
"312","UK-born","Indian","44",2917,"M",2011
"313","UK-born","Indian","45",2176,"M",2011
"314","UK-born","Indian","46",1709,"M",2011
"315","UK-born","Indian","47",1436,"M",2011
"316","UK-born","Indian","48",1184,"M",2011
"317","UK-born","Indian","49",804,"M",2011
"318","UK-born","Indian","50",625,"M",2011
"319","UK-born","Indian","51",454,"M",2011
"320","UK-born","Indian","52",383,"M",2011
"321","UK-born","Indian","53",292,"M",2011
"322","UK-born","Indian","54",240,"M",2011
"323","UK-born","Indian","55",177,"M",2011
"324","UK-born","Indian","56",179,"M",2011
"325","UK-born","Indian","57",151,"M",2011
"326","UK-born","Indian","58",135,"M",2011
"327","UK-born","Indian","59",125,"M",2011
"328","UK-born","Indian","60",90,"M",2011
"329","UK-born","Indian","61",86,"M",2011
"330","UK-born","Indian","62",70,"M",2011
"331","UK-born","Indian","63",60,"M",2011
"332","UK-born","Indian","64",52,"M",2011
"333","UK-born","Indian","65",55,"M",2011
"334","UK-born","Indian","66",59,"M",2011
"335","UK-born","Indian","67",42,"M",2011
"336","UK-born","Indian","68",46,"M",2011
"337","UK-born","Indian","69",34,"M",2011
"338","UK-born","Indian","70",48,"M",2011
"339","UK-born","Indian","71",47,"M",2011
"340","UK-born","Indian","72",59,"M",2011
"341","UK-born","Indian","73",29,"M",2011
"342","UK-born","Indian","74",41,"M",2011
"343","UK-born","Indian","75",35,"M",2011
"344","UK-born","Indian","76",26,"M",2011
"345","UK-born","Indian","77",29,"M",2011
"346","UK-born","Indian","78",37,"M",2011
"347","UK-born","Indian","79",25,"M",2011
"348","UK-born","Indian","80",20,"M",2011
"349","UK-born","Indian","81",15,"M",2011
"350","UK-born","Indian","82",27,"M",2011
"351","UK-born","Indian","83",13,"M",2011
"352","UK-born","Indian","84",15,"M",2011
"353","UK-born","Indian","85-89",54,"M",2011
"354","UK-born","Indian","90-94",13,"M",2011
"355","UK-born","Indian","95-99",12,"M",2011
"356","UK-born","Indian","100",2,"M",2011
"357","UK-born","Pakistani","0",12203,"M",2011
"358","UK-born","Pakistani","1",12769,"M",2011
"359","UK-born","Pakistani","2",12955,"M",2011
"360","UK-born","Pakistani","3",12772,"M",2011
"361","UK-born","Pakistani","4",12036,"M",2011
"362","UK-born","Pakistani","5",12182,"M",2011
"363","UK-born","Pakistani","6",11219,"M",2011
"364","UK-born","Pakistani","7",10555,"M",2011
"365","UK-born","Pakistani","8",10693,"M",2011
"366","UK-born","Pakistani","9",10405,"M",2011
"367","UK-born","Pakistani","10",9493,"M",2011
"368","UK-born","Pakistani","11",9351,"M",2011
"369","UK-born","Pakistani","12",8944,"M",2011
"370","UK-born","Pakistani","13",8491,"M",2011
"371","UK-born","Pakistani","14",8095,"M",2011
"372","UK-born","Pakistani","15",8029,"M",2011
"373","UK-born","Pakistani","16",7893,"M",2011
"374","UK-born","Pakistani","17",7728,"M",2011
"375","UK-born","Pakistani","18",7456,"M",2011
"376","UK-born","Pakistani","19",7196,"M",2011
"377","UK-born","Pakistani","20",6821,"M",2011
"378","UK-born","Pakistani","21",6500,"M",2011
"379","UK-born","Pakistani","22",6117,"M",2011
"380","UK-born","Pakistani","23",6228,"M",2011
"381","UK-born","Pakistani","24",6183,"M",2011
"382","UK-born","Pakistani","25",6151,"M",2011
"383","UK-born","Pakistani","26",5990,"M",2011
"384","UK-born","Pakistani","27",5683,"M",2011
"385","UK-born","Pakistani","28",5656,"M",2011
"386","UK-born","Pakistani","29",5496,"M",2011
"387","UK-born","Pakistani","30",5727,"M",2011
"388","UK-born","Pakistani","31",5312,"M",2011
"389","UK-born","Pakistani","32",4801,"M",2011
"390","UK-born","Pakistani","33",4013,"M",2011
"391","UK-born","Pakistani","34",3571,"M",2011
"392","UK-born","Pakistani","35",3052,"M",2011
"393","UK-born","Pakistani","36",2805,"M",2011
"394","UK-born","Pakistani","37",2837,"M",2011
"395","UK-born","Pakistani","38",2866,"M",2011
"396","UK-born","Pakistani","39",3056,"M",2011
"397","UK-born","Pakistani","40",2984,"M",2011
"398","UK-born","Pakistani","41",2798,"M",2011
"399","UK-born","Pakistani","42",2360,"M",2011
"400","UK-born","Pakistani","43",1920,"M",2011
"401","UK-born","Pakistani","44",1304,"M",2011
"402","UK-born","Pakistani","45",972,"M",2011
"403","UK-born","Pakistani","46",672,"M",2011
"404","UK-born","Pakistani","47",405,"M",2011
"405","UK-born","Pakistani","48",296,"M",2011
"406","UK-born","Pakistani","49",215,"M",2011
"407","UK-born","Pakistani","50",184,"M",2011
"408","UK-born","Pakistani","51",163,"M",2011
"409","UK-born","Pakistani","52",142,"M",2011
"410","UK-born","Pakistani","53",123,"M",2011
"411","UK-born","Pakistani","54",117,"M",2011
"412","UK-born","Pakistani","55",117,"M",2011
"413","UK-born","Pakistani","56",82,"M",2011
"414","UK-born","Pakistani","57",70,"M",2011
"415","UK-born","Pakistani","58",87,"M",2011
"416","UK-born","Pakistani","59",82,"M",2011
"417","UK-born","Pakistani","60",60,"M",2011
"418","UK-born","Pakistani","61",47,"M",2011
"419","UK-born","Pakistani","62",38,"M",2011
"420","UK-born","Pakistani","63",28,"M",2011
"421","UK-born","Pakistani","64",40,"M",2011
"422","UK-born","Pakistani","65",32,"M",2011
"423","UK-born","Pakistani","66",22,"M",2011
"424","UK-born","Pakistani","67",36,"M",2011
"425","UK-born","Pakistani","68",26,"M",2011
"426","UK-born","Pakistani","69",27,"M",2011
"427","UK-born","Pakistani","70",36,"M",2011
"428","UK-born","Pakistani","71",34,"M",2011
"429","UK-born","Pakistani","72",21,"M",2011
"430","UK-born","Pakistani","73",32,"M",2011
"431","UK-born","Pakistani","74",29,"M",2011
"432","UK-born","Pakistani","75",27,"M",2011
"433","UK-born","Pakistani","76",22,"M",2011
"434","UK-born","Pakistani","77",13,"M",2011
"435","UK-born","Pakistani","78",17,"M",2011
"436","UK-born","Pakistani","79",15,"M",2011
"437","UK-born","Pakistani","80",17,"M",2011
"438","UK-born","Pakistani","81",11,"M",2011
"439","UK-born","Pakistani","82",15,"M",2011
"440","UK-born","Pakistani","83",10,"M",2011
"441","UK-born","Pakistani","84",9,"M",2011
"442","UK-born","Pakistani","85-89",40,"M",2011
"443","UK-born","Pakistani","90-94",12,"M",2011
"444","UK-born","Pakistani","95-99",9,"M",2011
"445","UK-born","Pakistani","100",4,"M",2011
"446","UK-born","Bangladeshi","0",4827,"M",2011
"447","UK-born","Bangladeshi","1",4810,"M",2011
"448","UK-born","Bangladeshi","2",4760,"M",2011
"449","UK-born","Bangladeshi","3",5134,"M",2011
"450","UK-born","Bangladeshi","4",4934,"M",2011
"451","UK-born","Bangladeshi","5",4936,"M",2011
"452","UK-born","Bangladeshi","6",4717,"M",2011
"453","UK-born","Bangladeshi","7",4774,"M",2011
"454","UK-born","Bangladeshi","8",4732,"M",2011
"455","UK-born","Bangladeshi","9",4432,"M",2011
"456","UK-born","Bangladeshi","10",4121,"M",2011
"457","UK-born","Bangladeshi","11",4018,"M",2011
"458","UK-born","Bangladeshi","12",4071,"M",2011
"459","UK-born","Bangladeshi","13",4056,"M",2011
"460","UK-born","Bangladeshi","14",3762,"M",2011
"461","UK-born","Bangladeshi","15",3782,"M",2011
"462","UK-born","Bangladeshi","16",3332,"M",2011
"463","UK-born","Bangladeshi","17",3112,"M",2011
"464","UK-born","Bangladeshi","18",2969,"M",2011
"465","UK-born","Bangladeshi","19",2802,"M",2011
"466","UK-born","Bangladeshi","20",2868,"M",2011
"467","UK-born","Bangladeshi","21",2605,"M",2011
"468","UK-born","Bangladeshi","22",2319,"M",2011
"469","UK-born","Bangladeshi","23",2370,"M",2011
"470","UK-born","Bangladeshi","24",2135,"M",2011
"471","UK-born","Bangladeshi","25",2066,"M",2011
"472","UK-born","Bangladeshi","26",1929,"M",2011
"473","UK-born","Bangladeshi","27",1859,"M",2011
"474","UK-born","Bangladeshi","28",1699,"M",2011
"475","UK-born","Bangladeshi","29",1435,"M",2011
"476","UK-born","Bangladeshi","30",1376,"M",2011
"477","UK-born","Bangladeshi","31",1059,"M",2011
"478","UK-born","Bangladeshi","32",875,"M",2011
"479","UK-born","Bangladeshi","33",778,"M",2011
"480","UK-born","Bangladeshi","34",714,"M",2011
"481","UK-born","Bangladeshi","35",568,"M",2011
"482","UK-born","Bangladeshi","36",485,"M",2011
"483","UK-born","Bangladeshi","37",526,"M",2011
"484","UK-born","Bangladeshi","38",393,"M",2011
"485","UK-born","Bangladeshi","39",407,"M",2011
"486","UK-born","Bangladeshi","40",299,"M",2011
"487","UK-born","Bangladeshi","41",232,"M",2011
"488","UK-born","Bangladeshi","42",196,"M",2011
"489","UK-born","Bangladeshi","43",157,"M",2011
"490","UK-born","Bangladeshi","44",99,"M",2011
"491","UK-born","Bangladeshi","45",83,"M",2011
"492","UK-born","Bangladeshi","46",72,"M",2011
"493","UK-born","Bangladeshi","47",64,"M",2011
"494","UK-born","Bangladeshi","48",70,"M",2011
"495","UK-born","Bangladeshi","49",37,"M",2011
"496","UK-born","Bangladeshi","50",49,"M",2011
"497","UK-born","Bangladeshi","51",44,"M",2011
"498","UK-born","Bangladeshi","52",34,"M",2011
"499","UK-born","Bangladeshi","53",40,"M",2011
"500","UK-born","Bangladeshi","54",24,"M",2011
"501","UK-born","Bangladeshi","55",32,"M",2011
"502","UK-born","Bangladeshi","56",22,"M",2011
"503","UK-born","Bangladeshi","57",20,"M",2011
"504","UK-born","Bangladeshi","58",16,"M",2011
"505","UK-born","Bangladeshi","59",10,"M",2011
"506","UK-born","Bangladeshi","60",9,"M",2011
"507","UK-born","Bangladeshi","61",8,"M",2011
"508","UK-born","Bangladeshi","62",19,"M",2011
"509","UK-born","Bangladeshi","63",10,"M",2011
"510","UK-born","Bangladeshi","64",6,"M",2011
"511","UK-born","Bangladeshi","65",6,"M",2011
"512","UK-born","Bangladeshi","66",6,"M",2011
"513","UK-born","Bangladeshi","67",15,"M",2011
"514","UK-born","Bangladeshi","68",11,"M",2011
"515","UK-born","Bangladeshi","69",16,"M",2011
"516","UK-born","Bangladeshi","70",3,"M",2011
"517","UK-born","Bangladeshi","71",9,"M",2011
"518","UK-born","Bangladeshi","72",14,"M",2011
"519","UK-born","Bangladeshi","73",9,"M",2011
"520","UK-born","Bangladeshi","74",6,"M",2011
"521","UK-born","Bangladeshi","75",6,"M",2011
"522","UK-born","Bangladeshi","76",5,"M",2011
"523","UK-born","Bangladeshi","77",6,"M",2011
"524","UK-born","Bangladeshi","78",4,"M",2011
"525","UK-born","Bangladeshi","79",2,"M",2011
"526","UK-born","Bangladeshi","80",5,"M",2011
"527","UK-born","Bangladeshi","81",6,"M",2011
"528","UK-born","Bangladeshi","82",7,"M",2011
"529","UK-born","Bangladeshi","83",3,"M",2011
"530","UK-born","Bangladeshi","84",6,"M",2011
"531","UK-born","Bangladeshi","85-89",10,"M",2011
"532","UK-born","Bangladeshi","90-94",1,"M",2011
"533","UK-born","Bangladeshi","95-99",1,"M",2011
"534","UK-born","Bangladeshi","100",1,"M",2011
"535","UK-born","Chinese","0",2017,"M",2011
"536","UK-born","Chinese","1",1783,"M",2011
"537","UK-born","Chinese","2",1683,"M",2011
"538","UK-born","Chinese","3",1636,"M",2011
"539","UK-born","Chinese","4",1444,"M",2011
"540","UK-born","Chinese","5",1238,"M",2011
"541","UK-born","Chinese","6",1103,"M",2011
"542","UK-born","Chinese","7",975,"M",2011
"543","UK-born","Chinese","8",918,"M",2011
"544","UK-born","Chinese","9",850,"M",2011
"545","UK-born","Chinese","10",1004,"M",2011
"546","UK-born","Chinese","11",885,"M",2011
"547","UK-born","Chinese","12",947,"M",2011
"548","UK-born","Chinese","13",928,"M",2011
"549","UK-born","Chinese","14",982,"M",2011
"550","UK-born","Chinese","15",1013,"M",2011
"551","UK-born","Chinese","16",1049,"M",2011
"552","UK-born","Chinese","17",1030,"M",2011
"553","UK-born","Chinese","18",1161,"M",2011
"554","UK-born","Chinese","19",1129,"M",2011
"555","UK-born","Chinese","20",1270,"M",2011
"556","UK-born","Chinese","21",1219,"M",2011
"557","UK-born","Chinese","22",1412,"M",2011
"558","UK-born","Chinese","23",1159,"M",2011
"559","UK-born","Chinese","24",1156,"M",2011
"560","UK-born","Chinese","25",1218,"M",2011
"561","UK-born","Chinese","26",1139,"M",2011
"562","UK-born","Chinese","27",1055,"M",2011
"563","UK-born","Chinese","28",1114,"M",2011
"564","UK-born","Chinese","29",1032,"M",2011
"565","UK-born","Chinese","30",1085,"M",2011
"566","UK-born","Chinese","31",931,"M",2011
"567","UK-born","Chinese","32",841,"M",2011
"568","UK-born","Chinese","33",712,"M",2011
"569","UK-born","Chinese","34",755,"M",2011
"570","UK-born","Chinese","35",678,"M",2011
"571","UK-born","Chinese","36",711,"M",2011
"572","UK-born","Chinese","37",616,"M",2011
"573","UK-born","Chinese","38",640,"M",2011
"574","UK-born","Chinese","39",542,"M",2011
"575","UK-born","Chinese","40",480,"M",2011
"576","UK-born","Chinese","41",440,"M",2011
"577","UK-born","Chinese","42",429,"M",2011
"578","UK-born","Chinese","43",338,"M",2011
"579","UK-born","Chinese","44",268,"M",2011
"580","UK-born","Chinese","45",217,"M",2011
"581","UK-born","Chinese","46",200,"M",2011
"582","UK-born","Chinese","47",159,"M",2011
"583","UK-born","Chinese","48",108,"M",2011
"584","UK-born","Chinese","49",84,"M",2011
"585","UK-born","Chinese","50",74,"M",2011
"586","UK-born","Chinese","51",65,"M",2011
"587","UK-born","Chinese","52",54,"M",2011
"588","UK-born","Chinese","53",61,"M",2011
"589","UK-born","Chinese","54",66,"M",2011
"590","UK-born","Chinese","55",39,"M",2011
