"","year","sex","age","ETH.group","CoB","timeinUK(0,1]","pop"
"91",2011,"M",3,"PAK","Non-UK born",FALSE,458
"92",2011,"M",3,"PAK","Non-UK born",TRUE,554
"93",2011,"M",3,"PAK","UK born",NA,12488
"94",2011,"M",3,"WBI+WHO","Non-UK born",FALSE,1749
"95",2011,"M",3,"WBI+WHO","Non-UK born",TRUE,489
"96",2011,"M",3,"WBI+WHO","UK born",NA,257649
"97",2011,"M",4,"BAN","Non-UK born",FALSE,228
"98",2011,"M",4,"BAN","Non-UK born",TRUE,284
"99",2011,"M",4,"BAN","UK born",NA,4659
"100",2011,"M",4,"BLA+BLC+OBL","Non-UK born",FALSE,1859
"101",2011,"M",4,"BLA+BLC+OBL","Non-UK born",TRUE,849
"102",2011,"M",4,"BLA+BLC+OBL","UK born",NA,15116
"103",2011,"M",4,"CHI+OAS","Non-UK born",FALSE,1223
"104",2011,"M",4,"CHI+OAS","Non-UK born",TRUE,966
"105",2011,"M",4,"CHI+OAS","UK born",NA,6123
"106",2011,"M",4,"IND","Non-UK born",FALSE,592
"107",2011,"M",4,"IND","Non-UK born",TRUE,536
"108",2011,"M",4,"IND","UK born",NA,8708
"109",2011,"M",4,"MIX","Non-UK born",FALSE,332
"110",2011,"M",4,"MIX","Non-UK born",TRUE,426
"111",2011,"M",4,"MIX","UK born",NA,19748
"112",2011,"M",4,"OTH","Non-UK born",FALSE,714
"113",2011,"M",4,"OTH","Non-UK born",TRUE,542
"114",2011,"M",4,"OTH","UK born",NA,3646
"115",2011,"M",4,"PAK","Non-UK born",FALSE,528
"116",2011,"M",4,"PAK","Non-UK born",TRUE,608
"117",2011,"M",4,"PAK","UK born",NA,11768
"118",2011,"M",4,"WBI+WHO","Non-UK born",FALSE,2043
"119",2011,"M",4,"WBI+WHO","Non-UK born",TRUE,544
"120",2011,"M",4,"WBI+WHO","UK born",NA,250090
"121",2011,"M",5,"BAN","Non-UK born",FALSE,292
"122",2011,"M",5,"BAN","Non-UK born",TRUE,346
"123",2011,"M",5,"BAN","UK born",NA,4587
"124",2011,"M",5,"BLA+BLC+OBL","Non-UK born",FALSE,2263
"125",2011,"M",5,"BLA+BLC+OBL","Non-UK born",TRUE,983
"126",2011,"M",5,"BLA+BLC+OBL","UK born",NA,14310
"127",2011,"M",5,"CHI+OAS","Non-UK born",FALSE,1414
"128",2011,"M",5,"CHI+OAS","Non-UK born",TRUE,1063
"129",2011,"M",5,"CHI+OAS","UK born",NA,5469
"130",2011,"M",5,"IND","Non-UK born",FALSE,704
"131",2011,"M",5,"IND","Non-UK born",TRUE,607
"132",2011,"M",5,"IND","UK born",NA,7990
"133",2011,"M",5,"MIX","Non-UK born",FALSE,393
"134",2011,"M",5,"MIX","Non-UK born",TRUE,479
"135",2011,"M",5,"MIX","UK born",NA,17918
"136",2011,"M",5,"OTH","Non-UK born",FALSE,869
"137",2011,"M",5,"OTH","Non-UK born",TRUE,628
"138",2011,"M",5,"OTH","UK born",NA,3429
"139",2011,"M",5,"PAK","Non-UK born",FALSE,683
"140",2011,"M",5,"PAK","Non-UK born",TRUE,749
"141",2011,"M",5,"PAK","UK born",NA,11714
"142",2011,"M",5,"WBI+WHO","Non-UK born",FALSE,2561
"143",2011,"M",5,"WBI+WHO","Non-UK born",TRUE,649
"144",2011,"M",5,"WBI+WHO","UK born",NA,245033
"145",2011,"M",6,"BAN","Non-UK born",FALSE,359
"146",2011,"M",6,"BAN","Non-UK born",TRUE,405
"147",2011,"M",6,"BAN","UK born",NA,4369
"148",2011,"M",6,"BLA+BLC+OBL","Non-UK born",FALSE,2594
"149",2011,"M",6,"BLA+BLC+OBL","Non-UK born",TRUE,1072
"150",2011,"M",6,"BLA+BLC+OBL","UK born",NA,12855
"151",2011,"M",6,"CHI+OAS","Non-UK born",FALSE,1578
"152",2011,"M",6,"CHI+OAS","Non-UK born",TRUE,1129
"153",2011,"M",6,"CHI+OAS","UK born",NA,4756
"154",2011,"M",6,"IND","Non-UK born",FALSE,819
"155",2011,"M",6,"IND","Non-UK born",TRUE,673
"156",2011,"M",6,"IND","UK born",NA,7232
"157",2011,"M",6,"MIX","Non-UK born",FALSE,459
"158",2011,"M",6,"MIX","Non-UK born",TRUE,534
"159",2011,"M",6,"MIX","UK born",NA,16243
"160",2011,"M",6,"OTH","Non-UK born",FALSE,914
"161",2011,"M",6,"OTH","Non-UK born",TRUE,628
"162",2011,"M",6,"OTH","UK born",NA,2809
"163",2011,"M",6,"PAK","Non-UK born",FALSE,811
"164",2011,"M",6,"PAK","Non-UK born",TRUE,846
"165",2011,"M",6,"PAK","UK born",NA,10785
"166",2011,"M",6,"WBI+WHO","Non-UK born",FALSE,3123
"167",2011,"M",6,"WBI+WHO","Non-UK born",TRUE,753
"168",2011,"M",6,"WBI+WHO","UK born",NA,235328
"169",2011,"M",7,"BAN","Non-UK born",FALSE,441
"170",2011,"M",7,"BAN","Non-UK born",TRUE,475
"171",2011,"M",7,"BAN","UK born",NA,4134
"172",2011,"M",7,"BLA+BLC+OBL","Non-UK born",FALSE,2973
"173",2011,"M",7,"BLA+BLC+OBL","Non-UK born",TRUE,1169
"174",2011,"M",7,"BLA+BLC+OBL","UK born",NA,11478
"175",2011,"M",7,"CHI+OAS","Non-UK born",FALSE,1752
"176",2011,"M",7,"CHI+OAS","Non-UK born",TRUE,1192
"177",2011,"M",7,"CHI+OAS","UK born",NA,4086
"178",2011,"M",7,"IND","Non-UK born",FALSE,953
